Result for strategy abbas8
============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|     XTZ/USDT |         2 |           1.89 |           3.77 |             3.774 |           0.37 |         0:50:00 |     2     0     0   100 |
|    OSMO/USDT |         2 |           1.69 |           3.37 |             3.377 |           0.33 |         0:01:00 |     2     0     0   100 |
|     EUR/USDT |         1 |           3.17 |           3.17 |             3.170 |           0.31 |         0:06:00 |     1     0     0   100 |
|     TRB/USDT |        65 |           0.05 |           2.94 |             2.941 |           0.29 |         1:52:00 |    46     8    11  70.8 |
|    MOVR/USDT |        30 |           0.10 |           2.87 |             2.870 |           0.28 |         3:50:00 |    19     6     5  63.3 |
|    POND/USDT |        63 |           0.04 |           2.48 |             2.484 |           0.25 |         2:05:00 |    43     8    12  68.3 |
|    GHST/USDT |         2 |           1.19 |           2.38 |             2.385 |           0.24 |         5:10:00 |     1     1     0   100 |
|    IOTA/USDT |         5 |           0.39 |           1.97 |             1.979 |           0.20 |         1:04:00 |     4     0     1  80.0 |
|     DOT/USDT |         2 |           0.96 |           1.92 |             1.919 |           0.19 |         2:20:00 |     1     1     0   100 |
|    IRIS/USDT |        28 |           0.06 |           1.58 |             1.579 |           0.16 |         2:26:00 |    19     4     5  67.9 |
|    DYDX/USDT |        39 |           0.03 |           1.07 |             1.077 |           0.11 |         2:26:00 |    24     9     6  61.5 |
|     NEO/USDT |        11 |           0.08 |           0.93 |             0.936 |           0.09 |         2:18:00 |     8     1     2  72.7 |
|     ADA/USDT |         8 |           0.10 |           0.77 |             0.775 |           0.08 |         3:14:00 |     4     3     1  50.0 |
|    ALGO/USDT |         5 |           0.09 |           0.46 |             0.459 |           0.05 |         1:21:00 |     4     0     1  80.0 |
|    DUSK/USDT |        39 |           0.01 |           0.38 |             0.349 |           0.03 |         3:13:00 |    28     4     7  71.8 |
|    DASH/USDT |         4 |           0.03 |           0.13 |             0.134 |           0.01 |         6:58:00 |     1     3     0   100 |
|     BTC/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    TUSD/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    USDC/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    BUSD/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|     GBP/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    PAXG/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|    USDP/USDT |         0 |           0.00 |           0.00 |             0.000 |           0.00 |            0:00 |     0     0     0     0 |
|     WIN/USDT |        18 |          -0.00 |          -0.05 |            -0.050 |          -0.00 |         1:33:00 |    14     0     4  77.8 |
|    SHIB/USDT |        17 |          -0.01 |          -0.12 |            -0.118 |          -0.01 |         3:32:00 |    11     3     3  64.7 |
|     LTC/USDT |         9 |          -0.02 |          -0.14 |            -0.143 |          -0.01 |         7:36:00 |     4     4     1  44.4 |
|    ARDR/USDT |        19 |          -0.01 |          -0.15 |            -0.146 |          -0.01 |         2:47:00 |    13     2     4  68.4 |
